title,company,location,salary,min_salary,max_salary,salary_period,average_salary,yearly_avg_salary
Python Developer,Tata Consultancy Services,"Bengaluru, Karnataka",,,,,,
Python/Django Developer Trainee,Shyena Tech Yarns Pvt Ltd,"Pune, Maharashtra",,,,,,
Python - Bigdata Developer,Virtusa,"Hybrid work in Pune, Maharashtra",Full-time,,,,,
Python Developer with Technical writing-Immediate Joiner,Nithminds Private limited,Remote,,,,,,
Python Developer,Geek Informatic & Technologies Private Limited,"Mohali, Punjab",,,,,,
Junior Python Developer,Alpha ICT,"Pune, Maharashtra",,,,,,
"Python Developer( Django, Flask, OpenAI) For Aligarh Uttar Pradesh",LetsCms,"Aligarh, Uttar Pradesh",,,,,,
Python Developer,Keypress IT Services,"Rajkot, Gujarat",,,,,,
Python/Django Developer,SSB,"Porur, Chennai, Tamil Nadu",,,,,,
Python Backend Developer,Agrisarathi innovation pvt ltd,"Saket, Delhi, Delhi",,,,,,
Python Developer,SnehVin Business Solutions,"Chandigarh, Chandigarh","₹12,66,396.58 - ₹20,00,000.00 a year",1266396.58,2000000.0,year,1633198.29,1633198.29
LLM SR Python Developer and TWA,BETA TRANSFORMATION IT SOLUTION,Remote,,,,,,
Python Developer - LLM + TWA,Javin Global,"Delhi, Delhi","Full-time
+1",,,,,
Junior Python Developer,PluginLive Technologies Private Limited,"Mumbai, Maharashtra",,,,,,
Python + AL Developer,Kadel Labs Private Limited,"Udaipur, Rajasthan",,,,,,
Python Developer/ Senior Consultant Specialist,HSBC,"Pune, Maharashtra","Full-time
+1",,,,,
Python Developer,PARAM Creative Solutions,"Pune, Maharashtra","₹2,50,000 - ₹3,00,000 a year",250000.0,300000.0,year,275000.0,275000.0
Python Developer,Variate Solar,"Narhe, Pune, Maharashtra",,,,,,
Junior Python Developer,MINDFUL TECH SOLUTIONS,"Visakhapatnam, Andhra Pradesh","₹12,000 - ₹18,000 a month",12000.0,18000.0,month,15000.0,180000.0
Python Developer,Finpro Technologies Pvt Ltd,"Hyderabad, Telangana",,,,,,
Python Developer,IndeedSEO,"Mohali, Punjab","₹15,000 - ₹40,000 a month",15000.0,40000.0,month,27500.0,330000.0
Python Backend Developer,Supabaord,"HSR Layout, Bengaluru, Karnataka",,,,,,
Flask - Python Developer,OWEBEST Technologies Pvt. Ltd.,"Jaipur, Rajasthan",,,,,,
